ISO3,main_lprice,mines,nb_acled,diff,share,share_bin
"AGO",4.512989,.0115154,886,1.108862,.0012515,1
"BDI",,0,468,.6286322,.0013432,0
"BEN",,0,31,4.065451,.1311436,0
"BFA",16.52823,.0131363,83,53.49848,.6445599,5
"BWA",6.08134,.0332743,14,27.01712,1.929794,5
"CAF",,0,363,0,0,0
"CIV",16.52823,.024453,402,51.1617,.1272679,3
"CMR",,0,133,0,0,0
"COD",8.42861,.0136099,2134,72.65296,.0340454,2
"COG",,0,167,0,0,0
"COM",,0,0,0,,0
"CPV",,0,0,0,,0
"DJI",,0,39,0,0,0
"DZA",9.194907,.005539,838,72.39435,.0863894,3
"EGY",10.24022,.0032935,294,37.09759,.1261823,3
"ERI",,0,214,0,0,0
"ETH",14.06479,.0053619,880,5.493262,.0062423,1
"GAB",,0,35,0,0,0
"GHA",15.02633,.0836237,52,37.73953,.7257602,5
"GIN",9.142137,.0731922,208,30.16179,.1450086,3
"GMB",,0,60,0,0,0
"GNB",,0,124,.6915872,.0055773,0
"GNQ",,0,22,0,0,0
"KEN",16.52823,.0052356,1097,8.569572,.0078118,1
"LBR",3.952204,.0042017,271,16.96539,.0626029,3
"LBY",,0,26,0,0,0
"LSO",4.512989,.0833333,1,.6103624,.6103624,5
"MAR",8.917817,.0318806,128,55.6692,.4349157,4
"MDG",,0,161,0,0,0
"MLI",16.52823,.0101078,86,57.1367,.6643803,5
"MOZ",7.6959,.0063371,208,18.80241,.0903962,3
"MRT",9.801824,.0099532,8,51.22549,6.403186,5
"MUS",,0,0,0,,0
"MWI",,0,93,0,0,0
"NAM",7.828458,.0258869,147,48.04306,.3268235,4
"NER",10.15935,.0032,148,12.43492,.0840198,3
"NGA",10.24022,.0025761,1501,41.37013,.0275617,2
"RWA",,0,93,.6103624,.006563,0
"SDN",16.52823,.0023557,1402,30.97347,.0220923,2
"SEN",12.38454,.0171026,271,23.82376,.0879106,3
"SLE",5.721652,.0153061,416,13.36248,.0321213,2
"SOM",,0,1208,0,0,0
"STP",,0,0,0,,0
"SWZ",4.151724,.2238806,,,,0
"TCD",,0,340,0,0,0
"TGO",4.097142,.0555556,41,5.845402,.1425708,3
"TUN",5.101462,.0483871,68,27.20234,.4000345,4
"TZA",14.52569,.0147059,244,38.1428,.156323,3
"UGA",,0,916,0,0,0
"ZAF",7.376271,.1312944,334,119.195,.3568712,4
"ZMB",9.108245,.0232426,263,52.56805,.1998785,3
"ZWE",13.16086,.1511506,1494,119.2353,.0798094,3
