ISO3,main_lprice,mines,nb_acled,diff,share,share_bin
"AGO",4.512989,.0115154,886,2.971437,.0033538,1
"BDI",,0,468,1.684556,.0035995,0
"BEN",,0,31,10.89427,.3514281,0
"BFA",16.52823,.0131363,83,118.0579,1.422385,5
"BWA",6.08134,.0332743,14,58.87303,4.205217,5
"CAF",,0,363,0,0,0
"CIV",16.52823,.024453,402,119.9125,.2982897,4
"CMR",,0,133,0,0,0
"COD",8.42861,.0136099,2134,158.3541,.0742053,3
"COG",,0,167,0,0,0
"COM",,0,0,0,,0
"CPV",,0,0,0,,0
"DJI",,0,39,0,0,0
"DZA",9.194907,.005539,838,174.0653,.2077152,4
"EGY",10.24022,.0032935,294,90.58013,.3080957,4
"ERI",,0,214,0,0,0
"ETH",14.06479,.0053619,880,14.72039,.0167277,2
"GAB",,0,35,0,0,0
"GHA",15.02633,.0836237,52,77.78798,1.495923,5
"GIN",9.142137,.0731922,208,65.31234,.3140016,4
"GMB",,0,60,0,0,0
"GNB",,0,124,1.853261,.0149457,0
"GNQ",,0,22,0,0,0
"KEN",16.52823,.0052356,1097,19.70512,.0179627,2
"LBR",3.952204,.0042017,271,39.53463,.1458842,3
"LBY",,0,26,0,0,0
"LSO",4.512989,.0833333,1,1.635599,1.635599,5
"MAR",8.917817,.0318806,128,129.9046,1.01488,5
"MDG",,0,161,0,0,0
"MLI",16.52823,.0101078,86,129.9024,1.510494,5
"MOZ",7.6959,.0063371,208,50.38515,.2422363,4
"MRT",9.801824,.0099532,8,117.2592,14.65739,5
"MUS",,0,0,0,,0
"MWI",,0,93,0,0,0
"NAM",7.828458,.0258869,147,113.1413,.7696685,5
"NER",10.15935,.0032,148,30.06938,.2031715,4
"NGA",10.24022,.0025761,1501,101.715,.0677648,3
"RWA",,0,93,1.635599,.0175871,0
"SDN",16.52823,.0023557,1402,76.48232,.0545523,3
"SEN",12.38454,.0171026,271,52.90979,.1952391,3
"SLE",5.721652,.0153061,416,28.82844,.0692991,3
"SOM",,0,1208,0,0,0
"STP",,0,0,0,,0
"SWZ",4.151724,.2238806,,,,0
"TCD",,0,340,0,0,0
"TGO",4.097142,.0555556,41,12.72999,.3104876,4
"TUN",5.101462,.0483871,68,63.52466,.9341862,5
"TZA",14.52569,.0147059,244,89.25056,.365781,4
"UGA",,0,916,0,0,0
"ZAF",7.376271,.1312944,334,249.9918,.7484785,5
"ZMB",9.108245,.0232426,263,116.5073,.4429937,4
"ZWE",13.16086,.1511506,1494,226.7565,.1517781,3
