ISO3,main_lprice,mines,nb_acled,diff,share,share_bin
"AGO",,0,886,.6389559,.0007212,0
"BDI",,0,468,.362235,.000774,0
"BEN",,0,31,2.342622,.0755685,0
"BFA",16.52823,.0131363,83,28.49548,.3433191,4
"BWA",7.649692,.0241592,14,16.42951,1.173536,5
"CAF",,0,363,0,0,0
"CIV",16.52823,.0256065,402,29.23562,.0727254,3
"CMR",,0,133,0,0,0
"COD",8.754911,.0129064,2134,44.59381,.0208968,2
"COG",,0,167,0,0,0
"COM",,0,0,0,,0
"CPV",,0,0,0,,0
"DJI",,0,39,0,0,0
"DZA",9.194907,.005539,838,42.70097,.0509558,3
"EGY",10.24022,.0032935,294,21.62897,.0735679,3
"ERI",,0,214,0,0,0
"ETH",,0,880,3.165362,.003597,0
"GAB",,0,35,0,0,0
"GHA",16.52823,.0760668,52,23.10088,.4442477,4
"GIN",9.913661,.0782313,208,17.02511,.0818515,3
"GMB",,0,60,0,0,0
"GNB",,0,124,.3985117,.0032138,0
"GNQ",,0,22,0,0,0
"KEN",16.52823,.0052356,1097,5.274168,.0048078,1
"LBR",3.952204,.004329,271,9.022895,.0332948,2
"LBY",,0,26,0,0,0
"LSO",,0,1,.351707,.351707,0
"MAR",8.917817,.0318806,128,33.09464,.2585519,4
"MDG",,0,161,0,0,0
"MLI",16.52823,.0101078,86,34.533,.4015464,4
"MOZ",3.790461,.0030245,208,10.83444,.0520887,3
"MRT",9.801824,.0099532,8,31.47786,3.934733,5
"MUS",,0,0,0,,0
"MWI",,0,93,0,0,0
"NAM",9.932424,.0136555,147,28.94511,.1969055,3
"NER",10.15935,.0032,148,7.513171,.0507647,3
"NGA",10.24022,.0025761,1501,23.49971,.015656,2
"RWA",,0,93,.3517067,.0037818,0
"SDN",16.52823,.0023557,1402,18.52005,.0132097,2
"SEN",12.38454,.0171026,271,13.27682,.048992,2
"SLE",5.721652,.0153061,416,6.800742,.0163479,2
"SOM",,0,1208,0,0,0
"STP",,0,0,0,,0
"SWZ",3.790461,.2075472,,,,0
"TCD",,0,340,0,0,0
"TGO",4.097142,.0555556,41,3.670922,.0895347,3
"TUN",5.101462,.0483871,68,16.64123,.244724,4
"TZA",16.52823,.0087464,244,23.4632,.0961606,3
"UGA",,0,916,0,0,0
"ZAF",8.351434,.1081347,334,70.86765,.2121786,4
"ZMB",9.108245,.0232426,263,30.58436,.1162903,3
"ZWE",13.49347,.1485775,1494,69.32211,.0464003,2
