ISO3,main_lprice,mines,nb_acled,diff,share,share_bin
"AGO",4.512989,.0115154,886,.4627119,.0005222,1
"BDI",,0,468,.2623189,.0005605,0
"BEN",,0,31,1.696454,.0547243,0
"BFA",16.52823,.0131363,83,24.36269,.2935264,4
"BWA",6.08134,.0332743,14,12.45847,.8898907,5
"CAF",,0,363,0,0,0
"CIV",16.52823,.024453,402,22.79396,.0567014,3
"CMR",,0,133,0,0,0
"COD",8.42861,.0136099,2134,33.51815,.0157067,2
"COG",,0,167,0,0,0
"COM",,0,0,0,,0
"CPV",,0,0,0,,0
"DJI",,0,39,0,0,0
"DZA",9.194907,.005539,838,31.94198,.0381169,2
"EGY",10.24022,.0032935,294,16.23978,.0552374,3
"ERI",,0,214,0,0,0
"ETH",14.06479,.0053619,880,2.292257,.0026048,1
"GAB",,0,35,0,0,0
"GHA",15.02633,.0836237,52,17.78672,.3420523,4
"GIN",9.142137,.0731922,208,13.88429,.0667514,3
"GMB",,0,60,0,0,0
"GNB",,0,124,.2885899,.0023273,0
"GNQ",,0,22,0,0,0
"KEN",16.52823,.0052356,1097,3.867179,.0035252,1
"LBR",3.952204,.0042017,271,7.547684,.0278512,2
"LBY",,0,26,0,0,0
"LSO",4.512989,.0833333,1,.2546949,.2546949,4
"MAR",8.917817,.0318806,128,24.9085,.1945977,3
"MDG",,0,161,0,0,0
"MLI",16.52823,.0101078,86,25.88086,.3009403,4
"MOZ",7.6959,.0063371,208,7.845968,.037721,2
"MRT",9.801824,.0099532,8,23.15919,2.894899,5
"MUS",,0,0,0,,0
"MWI",,0,93,0,0,0
"NAM",7.828458,.0258869,147,21.42611,.1457558,3
"NER",10.15935,.0032,148,5.480134,.0370279,2
"NGA",10.24022,.0025761,1501,18.02265,.0120071,2
"RWA",,0,93,.2546949,.0027387,0
"SDN",16.52823,.0023557,1402,13.50722,.0096343,1
"SEN",12.38454,.0171026,271,10.84705,.040026,2
"SLE",5.721652,.0153061,416,6.126743,.0147277,2
"SOM",,0,1208,0,0,0
"STP",,0,0,0,,0
"SWZ",4.151724,.2238806,,,,0
"TCD",,0,340,0,0,0
"TGO",4.097142,.0555556,41,2.701393,.0658876,3
"TUN",5.101462,.0483871,68,12.18847,.1792422,3
"TZA",14.52569,.0147059,244,17.08134,.0700055,3
"UGA",,0,916,0,0,0
"ZAF",7.376271,.1312944,334,55.7175,.1668189,3
"ZMB",9.108245,.0232426,263,24.01282,.0913035,3
"ZWE",13.16086,.1511506,1494,57.64123,.0385818,2
