"","pcode","name","visit_date","province","workers_numb","access_dry","access_wet","mineral1","mineral2","mineral3","mercury","interference","armed_group1","frequency_armed_group1","armed_group2","frequency_armed_group2","armed_group3","frequency_armed_group3","state_service1","state_service2","state_service3","state_service4","traceability","qualification","childunder15","childunder15work","project"
"1","codmine00001","Mayi-Tatu",2013-03-27,"Ituri",150,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"2","codmine00002","Mabanga",2013-03-27,"Ituri",115,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"3","codmine00003","Molende",2013-03-27,"Ituri",130,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"4","codmine00004","Embouchure",2013-03-27,"Ituri",135,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"5","codmine00005","Apumu-Atandele-Jerusalem-Luka Yayo",2013-03-27,"Ituri",270,"No data","No data","Or",NA,NA,"No data","Observed","FRPI","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"6","codmine00006","Tambala 1",2013-03-28,"Ituri",145,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"7","codmine00007","Tambala 2",2013-03-28,"Ituri",90,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"8","codmine00008","Fametal (drague)",2013-03-29,"Ituri",NA,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"9","codmine00009","Tindo",2013-03-29,"Ituri",78,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"10","codmine00010","Tambala 3",2013-03-29,"Ituri",105,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
"11","codmine00011","Coomid & Gold Dragon (drague)",2013-03-29,"Ituri",0,"No data","No data","Or",NA,NA,"No data","Observed","FARDC","Permanente",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - PROMINES MoFA 2013-2014"
