"Date","Price","Open","High","Low","Vol.","Change %"
"10/30/2020","32,538.00","32,538.00","32,538.00","32,538.00","","-1.42%"
"10/29/2020","33,008.00","33,008.00","33,008.00","33,008.00","","-0.02%"
"10/28/2020","33,013.50","33,013.50","33,013.50","33,013.50","","-0.02%"
"10/27/2020","33,018.75","33,018.75","33,018.75","33,018.75","","-0.02%"
"10/26/2020","33,024.00","33,024.00","33,024.00","33,024.00","","-0.07%"
"10/23/2020","33,045.50","33,045.50","33,045.50","33,045.50","","0.00%"
"10/22/2020","33,045.50","33,045.50","33,045.50","33,045.50","","-0.02%"
"10/21/2020","33,050.75","33,050.75","33,050.75","33,050.75","","-0.02%"
"10/20/2020","33,056.00","33,056.00","33,056.00","33,056.00","","0.21%"
"10/19/2020","32,985.75","32,985.75","32,985.75","32,985.75","","-0.05%"
"10/16/2020","33,002.50","33,002.50","33,002.50","33,002.50","","0.00%"
"10/15/2020","33,002.50","33,002.50","33,002.50","33,002.50","0.00K","-0.01%"
"10/14/2020","33,007.00","33,007.00","33,007.00","33,007.00","","-1.43%"
"10/13/2020","33,486.50","33,486.50","33,486.50","33,486.50","","-0.01%"
"10/12/2020","33,491.00","33,491.00","33,491.00","33,491.00","","-0.05%"
"10/09/2020","33,508.25","33,508.25","33,508.25","33,508.25","","0.00%"
"10/08/2020","33,508.25","33,508.25","33,508.25","33,508.25","","-0.01%"
"10/07/2020","33,512.50","33,512.50","33,512.50","33,512.50","","-0.01%"
"10/06/2020","33,517.00","33,517.00","33,517.00","33,517.00","","-1.25%"
"10/05/2020","33,941.25","33,941.25","33,941.25","33,941.25","","-0.01%"
"10/02/2020","33,945.50","33,945.50","33,945.50","33,945.50","","0.00%"
"10/01/2020","33,945.50","33,945.50","33,945.50","33,945.50","","-0.06%"
"09/30/2020","33,967.50","33,967.50","33,967.50","33,967.50","","-0.01%"
"09/29/2020","33,971.50","33,971.50","33,971.50","33,971.50","","0.00%"
"09/28/2020","33,971.50","33,971.50","33,971.50","33,971.50","","-0.06%"
"09/25/2020","33,992.50","33,992.50","33,992.50","33,992.50","","0.00%"
"09/24/2020","33,992.50","33,992.50","33,992.50","33,992.50","","-0.01%"
"09/23/2020","33,996.75","33,996.80","33,996.80","33,996.80","","-0.01%"
"09/22/2020","34,001.00","34,001.00","34,001.00","34,001.00","","-0.01%"
"09/21/2020","34,005.25","34,005.30","34,005.30","34,005.30","","-0.04%"
"09/18/2020","34,018.00","34,018.00","34,018.00","34,018.00","","-0.01%"
"09/17/2020","34,022.25","34,022.30","34,022.30","34,022.30","","-0.01%"
"09/16/2020","34,026.50","34,026.50","34,026.50","34,026.50","","2.97%"
"09/15/2020","33,045.75","33,045.80","33,045.80","33,045.80","","0.14%"
"09/14/2020","33,000.00","33,000.00","33,000.00","33,000.00","","0.00%"
"09/11/2020","33,001.25","33,001.30","33,001.30","33,001.30","","0.00%"
"09/10/2020","33,002.50","33,002.50","33,002.50","33,002.50","0.00K","-0.01%"
"09/09/2020","33,006.25","33,006.30","33,006.30","33,006.30","","0.04%"
"09/08/2020","32,994.50","32,994.50","32,994.50","32,994.50","","-0.01%"
"09/07/2020","32,999.00","32,999.00","32,999.00","32,999.00","","-0.04%"
"09/04/2020","33,012.00","33,012.00","33,012.00","33,012.00","","-0.01%"
"09/03/2020","33,016.50","33,016.50","33,016.50","33,016.50","","-0.01%"
"09/02/2020","33,020.50","33,020.50","33,020.50","33,020.50","","-0.01%"
"09/01/2020","33,025.00","33,025.00","33,025.00","33,025.00","","-0.05%"
"08/28/2020","33,042.50","33,042.50","33,042.50","33,042.50","","0.00%"
"08/27/2020","33,042.50","33,042.50","33,042.50","33,042.50","","0.00%"
"08/26/2020","33,042.50","33,042.50","33,042.50","33,042.50","","-0.03%"
"08/25/2020","33,051.50","33,051.50","33,051.50","33,051.50","","-0.01%"
"08/24/2020","33,055.50","33,055.50","33,055.50","33,055.50","","-0.05%"
"08/21/2020","33,072.50","33,072.50","33,072.50","33,072.50","","0.00%"
"08/20/2020","33,072.50","33,072.50","33,072.50","33,072.50","","-0.01%"
"08/19/2020","33,076.50","33,076.50","33,076.50","33,076.50","","-0.01%"
"08/18/2020","33,080.50","33,080.50","33,080.50","33,080.50","","0.10%"
"08/17/2020","33,049.00","33,049.00","33,049.00","33,049.00","","-0.05%"
"08/14/2020","33,066.00","33,066.00","33,066.00","33,066.00","","0.00%"
"08/13/2020","33,066.00","33,066.00","33,066.00","33,066.00","","-0.01%"
"08/12/2020","33,070.50","33,070.50","33,070.50","33,070.50","","0.00%"
"08/11/2020","33,070.50","33,070.50","33,070.50","33,070.50","","-0.03%"
"08/10/2020","33,079.00","33,079.00","33,079.00","33,079.00","0.00K","-0.05%"
"08/07/2020","33,096.00","33,096.00","33,096.00","33,096.00","","0.00%"
"08/06/2020","33,096.00","33,096.00","33,096.00","33,096.00","","-0.01%"
"08/05/2020","33,100.00","33,100.00","33,100.00","33,100.00","","0.30%"
"08/04/2020","33,000.00","33,000.00","33,000.00","33,000.00","","9.27%"
"08/03/2020","30,200.00","30,200.00","30,200.00","30,200.00","","4.14%"
"07/31/2020","29,000.00","29,000.00","29,000.00","29,000.00","0.03K","-0.60%"
"07/30/2020","29,175.00","29,175.00","29,175.00","29,175.00","","0.60%"
"07/29/2020","29,000.00","29,000.00","29,000.00","29,000.00","","2.17%"
"07/28/2020","28,385.00","28,385.00","28,385.00","28,385.00","","-0.01%"
"07/27/2020","28,389.00","28,389.00","28,389.00","28,389.00","","-0.06%"
"07/24/2020","28,406.50","28,406.50","28,406.50","28,406.50","","0.00%"
"07/23/2020","28,406.50","28,406.50","28,406.50","28,406.50","","-0.02%"
"07/22/2020","28,411.00","28,411.00","28,411.00","28,411.00","","-0.01%"
"07/21/2020","28,415.00","28,415.00","28,415.00","28,415.00","","-0.01%"
"07/20/2020","28,418.00","28,418.00","28,418.00","28,418.00","","-0.05%"
"07/17/2020","28,431.00","28,431.00","28,431.00","28,431.00","","0.00%"
"07/16/2020","28,431.00","28,431.00","28,431.00","28,431.00","","-0.01%"
"07/15/2020","28,434.00","28,434.00","28,434.00","28,434.00","","-0.01%"
"07/14/2020","28,437.50","28,437.50","28,437.50","28,437.50","","-0.01%"
"07/13/2020","28,440.50","28,440.50","28,440.50","28,440.50","","-0.04%"
"07/10/2020","28,453.00","28,453.00","28,453.00","28,453.00","","0.00%"
"07/09/2020","28,453.00","28,453.00","28,453.00","28,453.00","0.00K","-0.01%"
"07/08/2020","28,456.00","28,456.00","28,456.00","28,456.00","","-0.01%"
"07/07/2020","28,459.00","28,459.00","28,459.00","28,459.00","","-0.01%"
"07/06/2020","28,462.50","28,462.50","28,462.50","28,462.50","","-0.04%"
"07/03/2020","28,475.00","28,475.00","28,475.00","28,475.00","","0.00%"
"07/02/2020","28,475.00","28,475.00","28,475.00","28,475.00","","-0.01%"
"07/01/2020","28,478.00","28,478.00","28,478.00","28,478.00","","-0.01%"
"06/30/2020","28,481.00","28,481.00","28,481.00","28,481.00","","-0.01%"
"06/29/2020","28,484.00","28,484.00","28,484.00","28,484.00","0.01K","-0.05%"
"06/26/2020","28,497.00","28,497.00","28,497.00","28,497.00","","0.00%"
"06/25/2020","28,497.00","28,497.00","28,497.00","28,497.00","","-0.01%"
"06/24/2020","28,500.00","28,500.00","28,500.00","28,500.00","","-1.16%"
"06/23/2020","28,834.00","28,834.00","28,834.00","28,834.00","","-0.01%"
"06/22/2020","28,837.50","28,837.50","28,837.50","28,837.50","","-0.04%"
"06/19/2020","28,850.00","28,850.00","28,850.00","28,850.00","","0.00%"
"06/18/2020","28,850.00","28,850.00","28,850.00","28,850.00","","0.35%"
"06/17/2020","28,750.00","28,750.00","28,750.00","28,750.00","","-0.86%"
"06/16/2020","29,000.00","29,000.00","29,000.00","29,000.00","","0.00%"
"06/15/2020","29,000.00","29,000.00","29,000.00","29,000.00","","0.00%"
"06/12/2020","29,000.00","29,000.00","29,000.00","29,000.00","","-1.96%"
"06/11/2020","29,578.80","29,578.80","29,578.80","29,578.80","","-0.02%"
"06/10/2020","29,584.00","29,584.00","29,584.00","29,584.00","","-0.02%"
"06/09/2020","29,589.00","29,589.00","29,589.00","29,589.00","","-0.02%"
"06/08/2020","29,594.30","29,594.30","29,594.30","29,594.30","","-0.07%"
"06/05/2020","29,615.30","29,615.30","29,615.30","29,615.30","","0.00%"
"06/04/2020","29,615.30","29,615.30","29,615.30","29,615.30","","-0.02%"
"06/03/2020","29,620.50","29,620.50","29,620.50","29,620.50","0.00K","-0.02%"
"06/02/2020","29,625.80","29,625.80","29,625.80","29,625.80","","-0.02%"
"06/01/2020","29,631.00","29,631.00","29,631.00","29,631.00","","-0.07%"
"05/29/2020","29,652.00","29,652.00","29,652.00","29,652.00","","0.00%"
"05/28/2020","29,652.00","29,652.00","29,652.00","29,652.00","","-0.02%"
"05/27/2020","29,657.00","29,657.00","29,657.00","29,657.00","","-0.02%"
"05/26/2020","29,663.00","29,663.00","29,663.00","29,663.00","","-0.09%"
"05/22/2020","29,690.00","29,690.00","29,690.00","29,690.00","","0.00%"
"05/21/2020","29,690.00","29,690.00","29,690.00","29,690.00","","-0.02%"
"05/20/2020","29,695.50","29,695.50","29,695.50","29,695.50","","-0.02%"
"05/19/2020","29,701.00","29,701.00","29,701.00","29,701.00","","0.49%"
"05/18/2020","29,555.00","29,555.00","29,555.00","29,555.00","","-0.06%"
"05/15/2020","29,573.00","29,573.00","29,573.00","29,573.00","","0.00%"
"05/14/2020","29,573.00","29,573.00","29,573.00","29,573.00","","-0.01%"
"05/13/2020","29,577.00","29,577.00","29,577.00","29,577.00","","-0.02%"
"05/12/2020","29,581.50","29,581.50","29,581.50","29,581.50","0.01K","-0.02%"
"05/11/2020","29,586.00","29,586.00","29,586.00","29,586.00","","-0.06%"
"05/07/2020","29,603.00","29,603.00","29,603.00","29,603.00","","-0.01%"
"05/06/2020","29,607.00","29,607.00","29,607.00","29,607.00","","-0.02%"
"05/05/2020","29,612.00","29,612.00","29,612.00","29,612.00","","-0.01%"
"05/04/2020","29,616.00","29,616.00","29,616.00","29,616.00","","-0.06%"
"05/01/2020","29,633.00","29,633.00","29,633.00","29,633.00","","-0.01%"
"04/30/2020","29,637.00","29,637.00","29,637.00","29,637.00","","-0.01%"
"04/29/2020","29,641.00","29,641.00","29,641.00","29,641.00","","-0.01%"
"04/28/2020","29,645.00","29,645.00","29,645.00","29,645.00","","-0.01%"
"04/27/2020","29,649.00","29,649.00","29,649.00","29,649.00","","-0.04%"
"04/24/2020","29,662.00","29,662.00","29,662.00","29,662.00","","-0.01%"
"04/23/2020","29,666.00","29,666.00","29,666.00","29,666.00","","-0.01%"
"04/22/2020","29,670.00","29,670.00","29,670.00","29,670.00","","-0.01%"
"04/21/2020","29,674.00","29,674.00","29,674.00","29,674.00","","-0.01%"
"04/20/2020","29,678.00","29,678.00","29,678.00","29,678.00","","-0.05%"
"04/17/2020","29,691.50","29,691.50","29,691.50","29,691.50","","-0.02%"
"04/16/2020","29,696.00","29,696.00","29,696.00","29,696.00","","-0.01%"
"04/15/2020","29,700.00","29,700.00","29,700.00","29,700.00","","-0.02%"
"04/14/2020","29,705.50","29,705.50","29,705.50","29,705.50","","0.42%"
"04/09/2020","29,582.00","29,582.00","29,582.00","29,582.00","","-0.02%"
"04/08/2020","29,587.50","29,587.50","29,587.50","29,587.50","","-0.02%"
"04/07/2020","29,593.00","29,593.00","29,593.00","29,593.00","0.01K","-0.02%"
"04/06/2020","29,598.00","29,598.00","29,598.00","29,598.00","","-0.05%"
"04/03/2020","29,614.00","29,614.00","29,614.00","29,614.00","0.03K","-0.02%"
"04/02/2020","29,619.50","29,619.50","29,619.50","29,619.50","","-0.02%"
"04/01/2020","29,625.00","29,625.00","29,625.00","29,625.00","","-0.02%"
"03/31/2020","29,630.50","29,630.50","29,630.50","29,630.50","","0.00%"
"03/30/2020","29,630.50","29,630.50","29,630.50","29,630.50","","-0.07%"
"03/27/2020","29,652.00","29,652.00","29,652.00","29,652.00","","0.00%"
"03/26/2020","29,652.00","29,652.00","29,652.00","29,652.00","","-0.02%"
"03/25/2020","29,657.50","29,657.50","29,657.50","29,657.50","","-0.02%"
"03/24/2020","29,663.00","29,663.00","29,663.00","29,663.00","","-0.02%"
"03/23/2020","29,668.50","29,668.50","29,668.50","29,668.50","","-0.07%"
"03/20/2020","29,690.00","29,690.00","29,690.00","29,690.00","","0.00%"
"03/19/2020","29,690.00","29,690.00","29,690.00","29,690.00","","-0.02%"
"03/18/2020","29,695.00","29,695.00","29,695.00","29,695.00","","-0.02%"
"03/17/2020","29,700.00","29,700.00","29,700.00","29,700.00","","-6.18%"
"03/16/2020","31,655.00","31,655.00","31,655.00","31,655.00","0.01K","-0.07%"
"03/13/2020","31,676.00","31,676.00","31,676.00","31,676.00","","0.00%"
"03/12/2020","31,676.00","31,676.00","31,676.00","31,676.00","","-4.25%"
"03/11/2020","33,081.00","33,081.00","33,081.00","33,081.00","","-0.02%"
"03/10/2020","33,086.00","33,086.00","33,086.00","33,086.00","","-0.02%"
"03/09/2020","33,091.50","33,091.50","33,091.50","33,091.50","","-0.06%"
"03/06/2020","33,113.00","33,113.00","33,113.00","33,113.00","","0.00%"
"03/05/2020","33,113.00","33,113.00","33,113.00","33,113.00","0.01K","-0.02%"
"03/04/2020","33,118.50","33,118.50","33,118.50","33,118.50","","-0.02%"
"03/03/2020","33,124.00","33,124.00","33,124.00","33,124.00","","-0.02%"
"03/02/2020","33,129.50","33,129.50","33,129.50","33,129.50","","-0.08%"
"02/28/2020","33,156.50","33,156.50","33,156.50","33,156.50","","-0.02%"
"02/27/2020","33,162.00","33,162.00","33,162.00","33,162.00","","-0.02%"
"02/26/2020","33,167.50","33,167.50","33,167.50","33,167.50","","-0.75%"
"02/25/2020","33,417.50","33,417.50","33,417.50","33,417.50","","0.00%"
"02/24/2020","33,417.50","33,417.50","33,417.50","33,417.50","","-0.08%"
"02/21/2020","33,444.50","33,444.50","33,444.50","33,444.50","","-0.01%"
"02/20/2020","33,449.50","33,449.50","33,449.50","33,449.50","","-0.01%"
