"Date","Price","Open","High","Low","Vol.","Change %"
"10/30/2020","3.0515","3.0680","3.0680","3.0450","0.26K","-0.28%"
"10/29/2020","3.0600","3.0810","3.0810","3.0595","0.02K","-0.13%"
"10/28/2020","3.0640","3.0880","3.1065","3.0420","89.55K","-0.95%"
"10/27/2020","3.0935","3.0915","3.1125","3.0800","56.27K","0.13%"
"10/26/2020","3.0895","3.1415","3.1430","3.0770","74.73K","-1.26%"
"10/23/2020","3.1290","3.1640","3.1645","3.1245","50.62K","-0.78%"
"10/22/2020","3.1535","3.1955","3.1960","3.1425","74.34K","-1.41%"
"10/21/2020","3.1985","3.1415","3.2180","3.1405","80.17K","1.60%"
"10/20/2020","3.1480","3.0835","3.1705","3.0730","78.89K","2.01%"
"10/19/2020","3.0860","3.0605","3.1080","3.0570","53.71K","0.60%"
"10/16/2020","3.0675","3.0875","3.0960","3.0555","49.49K","-0.58%"
"10/15/2020","3.0855","3.0505","3.0935","3.0245","73.52K","1.15%"
"10/14/2020","3.0505","3.0415","3.0685","3.0380","44.20K","0.20%"
"10/13/2020","3.0445","3.0635","3.0670","3.0265","60.94K","-0.64%"
"10/12/2020","3.0640","3.0795","3.0930","3.0520","50.42K","-0.60%"
"10/09/2020","3.0825","3.0420","3.0980","3.0390","77.72K","1.33%"
"10/08/2020","3.0420","3.0315","3.0475","3.0115","60.11K","0.30%"
"10/07/2020","3.0330","2.9270","3.0550","2.9225","88.20K","2.35%"
"10/06/2020","2.9635","2.9635","2.9765","2.9205","45.41K","0.02%"
"10/05/2020","2.9630","2.9800","2.9845","2.9320","56.24K","-0.49%"
"10/02/2020","2.9775","2.8775","2.9865","2.8345","112.08K","3.91%"
"10/01/2020","2.8655","3.0160","3.0465","2.8540","116.11K","-5.51%"
"09/30/2020","3.0325","2.9955","3.0415","2.9755","81.63K","1.42%"
"09/29/2020","2.9900","3.0000","3.0060","2.9550","67.93K","0.07%"
"09/28/2020","2.9880","2.9885","3.0065","2.9735","0.28K","0.56%"
"09/25/2020","2.9715","2.9760","2.9920","2.9425","0.48K","0.13%"
"09/24/2020","2.9675","2.9600","2.9775","2.9145","0.18K","-0.84%"
"09/23/2020","2.9925","3.0600","3.0600","2.9495","0.30K","-2.21%"
"09/22/2020","3.0600","3.0430","3.0830","3.0425","0.26K","0.94%"
"09/21/2020","3.0315","3.1000","3.1100","3.0270","0.21K","-2.65%"
"09/18/2020","3.1140","3.0845","3.1140","3.0650","0.16K","1.48%"
"09/17/2020","3.0685","3.0360","3.0780","3.0195","0.18K","0.33%"
"09/16/2020","3.0585","3.0435","3.0735","3.0430","0.20K","-0.08%"
"09/15/2020","3.0610","3.0695","3.0805","3.0430","0.32K","-0.13%"
"09/14/2020","3.0650","3.0485","3.0710","3.0265","0.37K","0.96%"
"09/11/2020","3.0360","2.9735","3.0450","2.9735","0.30K","1.45%"
"09/10/2020","2.9925","3.0515","3.0515","2.9545","0.30K","-1.76%"
"09/09/2020","3.0460","3.0055","3.0525","3.0055","0.73K","0.86%"
"09/08/2020","3.0200","3.0710","3.0775","2.9975","0.17K","-1.62%"
"09/07/2020","3.0697","3.0740","3.0880","3.0427","","-0.16%"
"09/06/2020","3.0745","3.0790","3.0790","3.0623","","0.61%"
"09/04/2020","3.0560","2.9620","3.0740","2.9620","0.36K","2.91%"
"09/03/2020","2.9695","3.0070","3.0070","2.9550","0.09K","-1.51%"
"09/02/2020","3.0150","2.9975","3.0325","2.9955","0.12K","-0.25%"
"09/01/2020","3.0225","3.0470","3.0830","3.0140","0.17K","-1.08%"
"08/31/2020","3.0555","3.0345","3.0600","3.0335","0.15K","1.44%"
"08/28/2020","3.0120","3.0120","3.0230","3.0085","0.45K","1.23%"
"08/27/2020","2.9755","2.9830","2.9955","2.9415","0.87K","0.24%"
